,XG,XA,XGI,XG90,XA90,XGI90
2003,1.007398550496628,0.4954218286511953,1.5028203791478234,1.079355589817816,0.5308091021262806,1.6101646919440964
2004,0.6717176819207327,0.42610364683301344,1.0978213287537462,0.8396471024009159,0.5326295585412668,1.3722766609421828
2005,0.0,0.503699275248314,0.503699275248314,0.0,0.5093588176668344,0.5093588176668344
2006,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655
2007,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.42610364683301344,0.22592592592592592,0.6520295727589394,0.42610364683301344,0.22592592592592592,0.6520295727589394
2011,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.22611464968152867,0.42610364683301344,0.6522182965145421,0.22611464968152867,0.42610364683301344,0.6522182965145421
2013,0.24449028236156947,0.0,0.24449028236156947,0.24449028236156947,0.0,0.24449028236156947
2014,0.0,0.3381930367175189,0.3381930367175189,0.0,0.3381930367175189,0.3381930367175189
2015,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.22592592592592592,0.0,0.22592592592592592,0.22592592592592592,0.0,0.22592592592592592
2017,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.40524741219410043,0.40524741219410043,0.0,0.4052474121941004,0.4052474121941004
2019,0.0639269406392694,0.5812949036636146,0.645221844302884,0.0639269406392694,0.5812949036636146,0.645221844302884
2020,0.8630722273862133,0.26059740830221834,1.1236696356884317,0.9032151216832464,0.2727182179906936,1.1759333396739402
2021,0.05304711505633322,0.7006802436938109,0.7537273587501441,0.05304711505633322,0.7006802436938109,0.7537273587501441
2022,0.5739213603093284,0.30352155434122646,0.8774429146505549,0.5739213603093284,0.30352155434122646,0.8774429146505549
2023,0.0,0.1810439042773695,0.1810439042773695,0.0,0.1810439042773695,0.1810439042773695
2024,0.7985907184156192,0.0,0.7985907184156192,0.7985907184156193,0.0,0.7985907184156193
2025,0.6476479713502828,0.4605864054537031,1.108234376803986,0.6476479713502828,0.4605864054537031,1.108234376803986
2026,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.17932148626817448,0.9687830687830687,1.1481045550512432,0.17932148626817448,0.9687830687830687,1.1481045550512432
2029,0.22592592592592592,0.0,0.22592592592592592,0.22592592592592592,0.0,0.22592592592592592
2030,0.0,0.22450943864878292,0.22450943864878292,0.0,0.22450943864878292,0.22450943864878292
2031,0.0,0.21380424488886413,0.21380424488886413,0.0,0.21380424488886413,0.21380424488886413
2032,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.0,0.22592592592592592,0.22592592592592592,0.0,0.22592592592592592,0.22592592592592592
2034,0.854935529893133,0.0,0.854935529893133,1.0124236538208153,0.0,1.0124236538208153
2035,0.0,0.0,0.0,0.0,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.0
2037,0.0,0.0,0.0,0.0,0.0,0.0
2038,0.0,0.0,0.0,0.0,0.0,0.0
2039,0.018564356435643563,0.06931818181818182,0.08788253825382539,0.018564356435643563,0.06931818181818182,0.08788253825382539
2040,0.0,0.0,0.0,0.0,0.0,0.0
2041,0.07759562841530054,0.12195121951219512,0.19954684792749566,0.07759562841530054,0.1219512195121951,0.19954684792749566
